Complexity,Loss,Equation
1,3412.8977,"42.92984"
3,1413.1605,"17.420185 / x0"
5,1119.0704,"(x0 ^ -2.2901611) + 21.509165"
7,1098.2384,"(2.1356337 / (x0 ^ 1.9729201)) + 17.142578"
8,1017.6058,"exp((0.03257425 ^ x0) * 7.504438) + 20.660608"
10,1017.02704,"(exp((0.034194477 ^ x0) * 7.474897) + x0) + 19.887344"
11,644.066,"(((x0 * 3.991901) ^ (x0 * -108.13951)) / 80.13536) + 27.656923"
13,638.53284,"(((x0 * 3.988314) ^ ((x0 + x0) * -55.68166)) / 108.129944) + 28.101383"
14,625.3447,"(((x0 * 4.027877) ^ (x0 * -108.46171)) / 79.56534) + exp(3.8405087 - x0)"
16,624.0124,"(47.95567 / exp(x0)) + (((x0 * 4.045805) ^ ((x0 + x0) * -54.828674)) / 84.305626)"
18,614.4315,"(((((x0 * 3.9830928) ^ ((x0 + x0) * -56.277313)) / 117.77566) + 40.187595) / exp(x0)) - -4.930711"
