Complexity,Loss,Equation
1,3412.8977,"42.91759"
3,1413.1605,"17.420185 / x0"
5,1119.0704,"(x0 ^ -2.290225) + 21.513832"
7,1053.5085,"((x0 + 0.084604174) ^ -3.1437423) + 18.434277"
8,983.3509,"exp(7.1311827 - (x0 * 17.967922)) + 24.687878"
9,923.6272,"exp(7.5321536 - exp(x0 * 7.7035503)) + 26.831867"
11,919.0025,"exp(x0 + (7.481989 - exp(x0 * 7.917809))) + 26.888636"
12,918.92694,"exp(exp(x0) + (6.482326 - exp(x0 * 7.943096))) + 26.907852"
13,465.13763,"exp((x0 * 151.09479) - (exp(x0 * 20.03587) + 1.9621986)) + 30.605858"
15,461.10318,"exp((x0 * 151.09479) - (exp(x0 * 20.03587) + 1.9621986)) + (30.605858 - x0)"
16,460.18677,"(exp((x0 * 151.09479) - (1.9621986 + exp(x0 * 20.03587))) + 30.605858) - exp(x0)"
17,396.65887,"(exp((x0 * 163.64879) - (exp(x0 * 20.55135) + 2.9828022)) + (5.2196918 / x0)) + 18.679985"
19,395.50107,"((exp((x0 * 163.64879) - (exp(x0 * 20.55135) + 2.9828022)) + (5.2196918 / x0)) + 18.679985) - x0"
