Complexity,Loss,Equation
1,3412.8975,"42.931145"
3,1413.1606,"17.419884 / x0"
5,1119.0706,"(x0 ^ -2.2901947) + 21.514082"
7,1098.3406,"((2.0052 / x0) / x0) + 17.534924"
9,1097.1034,"(x0 + (2.0122383 / (x0 * x0))) - -16.907389"
11,1088.5769,"((2.1125107 / (x0 * x0)) + 7.9689307) - (x0 * -15.239045)"
12,1077.402,"(7.6076107 / (sqrt(x0) * x0)) + (-25.194216 - (x0 * -47.97643))"
13,988.1589,"exp((log(x0) * -4.481807) - 6.411855) * ((-2.0829656 / x0) + 27.178328)"
15,421.93912,"(exp((log(x0) * -5.4672446) - 8.648519) * ((-1.941805 / x0) + 24.947865)) + 26.043076"
17,420.96686,"((((-1.9405584 / x0) + 24.947933) * exp((log(x0) * -5.4649663) - 8.649437)) + 26.49029) - x0"
18,420.80078,"((((-1.9837354 / x0) + 25.510725) * exp((log(x0) * -5.447313) - 8.638338)) + 27.283913) - exp(x0)"
19,416.15704,"((exp((log(x0) * -5.587889) - 9.209827) * ((-2.5550056 / x0) + 32.76581)) + (x0 / -0.12134897)) - -30.819445"
