Complexity,Loss,Equation
1,3412.8977,"42.932945"
3,1413.1605,"17.420185 / x0"
5,1119.0704,"(x0 ^ -2.2902021) - -21.511173"
7,1098.0571,"17.546543 + ((x0 + 0.013905227) ^ -2.4407887)"
8,1052.3048,"exp(17.425966 ^ (0.68153447 - x0)) - -17.728762"
9,869.9188,"(x0 ^ -2.49751) - ((x0 * 7.569816) ^ -11.855945)"
10,707.591,"exp((x0 ^ -0.7718021) - ((x0 * 11.541379) ^ -13.881754))"
11,605.85724,"((x0 ^ -2.4407887) + 17.546543) - ((x0 * 8.034298) ^ -13.068719)"
12,322.1245,"exp((x0 ^ -0.767925) - ((x0 * 11.570857) ^ -15.644458)) + 20.094131"
14,315.42215,"exp((x0 ^ -0.77762794) - (((x0 * 11.50126) ^ -14.558568) + x0)) - -22.434624"
15,304.97873,"exp(((x0 ^ -0.8228136) - ((x0 * 11.1930065) ^ -12.071016)) / exp(x0)) - -23.512117"
17,304.23004,"exp(((x0 ^ -0.8233542) - ((x0 * 11.177833) ^ -11.935484)) / exp(x0)) - (x0 + -24.21988)"
19,304.201,"(exp(((x0 ^ -0.8233542) - ((x0 * 11.177833) ^ -11.935484)) / exp(x0)) - (x0 + -24.21988)) - 0.1806612"
20,302.74075,"((exp((x0 ^ -0.8511278) - (((x0 * 11.125002) ^ -11.118496) + (x0 / x0))) - -24.546745) + x0) - x0"
